Julian date,Fluxes [/day],Radial velocity [km/s],Tangential velocity [km/s],Radial distance [au],Detection time [hours],Velocity phase angle [deg],Velocity inclination [deg],V_X (HAE) [km/s],V_Y (HAE) [km/s],V_Z (HAE) [km/s]
2459929.2917150925,262,60.104420266788736,48.76788416771458,0.21779331356526654,7.450106907468053,-53.69128424067381,2.5966442415161977,45.78458579344495,-62.308292988795,3.5065924125208525
2459929.625048426,224,58.63391743509195,46.20140063444763,0.22922203011854494,7.387044514720798,-52.16647448275123,2.6537152730015285,45.73843538327071,-58.894445837342325,3.4562222979200636
2459929.9583817595,211,57.21598380555086,43.942123088934956,0.24037264308675246,7.510221174024395,-50.76135618550338,2.704640525037514,45.58320616760306,-55.81363223612695,3.4042262692621543
2459930.2917150925,188,55.85317136825019,41.93806959672603,0.25125556962550694,7.457193444694887,-49.457130851936725,2.7504519508078866,45.34837592538704,-53.015752399634756,3.351601381631932
2459930.625048426,162,54.54555615780462,40.148218888510364,0.2618814586255855,7.356249112980515,-48.238842716502056,2.791956144697088,45.05520216244394,-50.460306152910945,3.299005538001291
2459930.9583817595,128,53.29178605235804,38.53981698668978,0.2722608231148321,7.399606111832611,-47.09442578978352,2.829792920665061,44.71923333774948,-48.114238494158094,3.246872006876025
2459931.2917150925,149,52.089716734729166,37.08642303624228,0.2824038317317952,7.442963280554144,-46.014022774939725,2.8644767439258665,44.351981023400356,-45.950321312340435,3.1954833312117548
2459931.625048426,115,50.93680531374202,35.76648101136552,0.292320197215558,7.370701415986505,-44.98948717529754,2.8964253532736857,43.962063651052574,-43.94593399215985,3.145019014880368
2459931.9583817595,86,49.83034097676536,34.562244281764734,0.30201912352401267,7.442962987036188,-44.01401985269793,2.925982699670635,43.555982969222455,-42.08212553105885,3.0955888011958876
2459932.2917150925,99,48.76759394068763,33.45898238975477,0.311509289196247,7.4429631451969405,-43.08189005279794,2.9534341121411147,43.13868668959172,-40.3429011704167,3.0472540381375257
2459932.625048426,85,47.74589988254117,32.44436741225411,0.3207988525990085,7.385153702467963,-42.18822814697677,2.979018424033597,42.71395983225721,-38.7146653343934,3.000042644566267
2459932.9583817595,67,46.762708265512856,31.50800619751196,0.3298954694404998,7.442963285205434,-41.328863221502985,3.002937147021605,42.28471167227114,-37.18578519717535,2.953959534311214
2459933.2917150925,93,45.81560741631405,30.64107767459884,0.3388063175729876,7.442963039287293,-40.5001957263374,3.0253615970616097,41.85318644407974,-35.7462454335581,2.908993961412879
2459933.625048426,60,44.902336282041205,29.83604550445438,0.347538124986685,7.399605872799203,-39.699100265966656,3.0464382879380696,41.42111682330143,-34.38737497495661,2.865124494944277
2459933.9583817595,69,44.02078604547291,29.086433947577884,0.3560971990090647,7.442963104411858,-38.922845078061016,3.0662933226428826,40.9898414859384,-33.10162584027431,2.8223227200730694
2459934.2917150925,77,43.16899602830287,28.38664739764099,0.3644894553387149,7.442963078192877,-38.16902850713257,3.0850358264701696,40.56039219228635,-31.882394256366936,2.78055574645141
2459934.625048426,76,42.34514812658016,27.73182589128777,0.37272044612760896,7.414058377707181,-37.43552799858159,3.1027606976947357,40.1335610966789,-30.723876255449024,2.7397880694884726
2459934.9583817595,70,41.547557977829825,27.117727934394924,0.38079538641678307,7.442963017889222,-36.72045780279872,3.119550831605378,39.70995186923996,-29.620947950884688,2.699982829319435
2459935.2917150925,73,40.77466653690097,26.540635158134716,0.38871917923994814,7.442963408623884,-36.02213462494841,3.135478949493296,39.29001975672754,-28.569067632336814,2.661102765323494
2459935.625048426,56,40.02503070847985,25.99727379672569,0.3964964388649985,7.428511080314615,-35.33904905300787,3.150609069827844,38.87410231274286,-27.564193930663574,2.6231108264509495
2459935.9583817595,58,39.29731374540821,25.484750090241036,0.4041315119849836,7.442963452491451,-34.66984123011742,3.164997754758187,38.46244348682514,-26.602717000959856,2.585970602445639
2459936.2917150925,56,38.590278012072524,25.000497123703386,0.41162849769541865,7.442962852054174,-34.01328111008723,3.178695150686898,38.05521375089643,-25.681402248968496,2.549646717019578
2459936.625048426,40,37.9027759475501,24.542228690769367,0.4189912656670624,7.327344477635265,-33.36825229445638,3.1917457687895943,37.65252368930815,-24.797341593625433,2.5141048815330165
2459936.9583817595,56,37.23374273910574,24.107902864494584,0.4262234726374239,7.442962852054174,-32.73373658337318,3.2041892792487676,37.25443721752318,-23.947912182201936,2.479312123348596
2459937.2917150925,51,36.58218952758461,23.695689175065933,0.43332857779153816,7.44296296586254,-32.10880301569223,3.216061054756509,36.86098026623724,-23.13074203374808,2.445236776618206
2459937.625048426,43,35.947197450671155,23.30394276322939,0.4403098568399213,7.341796593941758,-31.492596575512948,3.227392732931444,36.47214963506704,-22.343680095332868,2.4118485989205904
2459937.9583817595,46,35.327911182109474,22.93118076142292,0.4471704147283085,7.442963104411858,-30.884329547130378,3.2382126225627648,36.0879182683725,-21.58477029989208,2.3791186940192284
2459938.2917150925,36,34.72353361547789,22.576062879287928,0.4539131974416319,7.442962852054174,-30.28327356082803,3.2485460871665666,35.70824038896828,-20.8522293688803,2.3470195026982417
2459938.625048426,32,34.133321496234984,22.23737460416767,0.4605410028205208,7.35624905173299,-29.68875321066467,3.2584158591568397,35.33305573949905,-20.14442808146973,2.3155247853057648
2459938.9583817595,32,33.55658084605818,21.914012712057065,0.46705649034276714,7.442962852054174,-29.10014010615902,3.267842317058729,34.96229276076873,-19.459874492021335,2.2846095699950366
2459939.2917150925,46,32.99266296115862,21.604972728175078,0.4734621903412607,7.442963104411858,-28.51684778021231,3.2768437229681187,34.5958712238023,-18.797199435015283,2.254250101507339
2459939.625048426,43,32.44096092880359,21.30933817339219,0.47976051237825074,7.370701236418656,-27.93832720322345,3.2854364372694094,34.23370454619844,-18.155143930979207,2.224423804308041
2459939.9583817595,38,31.900905959937706,21.026270871289196,0.48595375284398656,7.442963157539794,-27.36406285398426,3.2936350711923934,33.87570115477196,-17.532547868363636,2.1951091849230053
2459940.2917150925,31,31.371964423259072,20.755002730536606,0.49204410205399096,7.442963039287293,-26.793569224459496,3.30145266694523,33.521765949996734,-16.928340248210212,2.1662857967684856
2459940.625048426,34,30.853635682267896,20.494828884864894,0.4980336508757698,7.385153568011158,-26.226387740697092,3.3089008370975432,33.17180206147341,-16.341530866764142,2.137934227012249
2459940.9583817595,29,30.34544905807572,20.245100947964985,0.5039243966356344,7.442963452491451,-25.66208408186934,3.315989866774476,32.82571116958739,-15.771202403249236,2.1100359940371
2459941.2917150925,30,29.846961699810436,20.005221531429584,0.5097182487948805,7.44296323900263,-25.100245711072326,3.3227288236584736,32.48339442648684,-15.216503715940966,2.082573510722528
2459941.625048426,33,29.357756407096804,19.774639351098777,0.5154170341066923,7.399606220484165,-24.540479537257017,3.329125653751101,32.14475304710745,-14.676643708331481,2.0555300347180436
2459941.9583817595,26,28.877439917182112,19.55284478005845,0.5210225012452118,7.442963298533166,-23.982410220212746,3.335187253106878,31.80968882233381,-14.150886159121598,2.0288896227725353
2459942.2917150925,24,28.40564152632749,19.339365796132977,0.526536325430066,7.442962852054174,-23.425678984126847,3.340919520211564,31.478104554390246,-13.638545313888086,2.0026370871319097
2459942.625048426,17,27.94201048488034,19.133764979812728,0.5319601124864615,7.414058163741871,-22.869940476635634,3.3463274644671683,31.149904206417567,-13.13898048509735,1.9767579475269494
2459942.9583817595,22,27.48621537741052,18.935636058789104,0.5372954025308241,7.442962852054174,-22.3148626119835,3.3514152222275237,30.824993256428964,-12.651593108681649,1.9512383959374755
2459943.2917150925,24,27.037942568491303,18.74460131498045,0.5425436736396676,7.442962852054174,-21.760124847550586,3.356186116753157,30.503278900196094,-12.175823000560172,1.9260652612210922
2459943.625048426,24,26.59689496425338,18.560308991895987,0.5477063451562638,7.428510873825026,-21.205417172775373,3.360642688813396,30.184670072716056,-11.711145292191047,1.9012259625444705
2459943.9583817595,22,26.162790928611606,18.38243121486851,0.5527847806697734,7.442962852054174,-20.650438897530865,3.3647867442067656,29.869077678362554,-11.257067577060047,1.8767084891003352
2459944.2917150925,15,25.735363174340065,18.21066191988013,0.5577802909744336,7.44296323900263,-20.09489770875682,3.368619377031653,29.55641455066579,-10.813127341504215,1.852501357882522
2459944.625048426,16,25.314357893923585,18.044715186034164,0.5626941367555934,7.442962852054174,-19.538508676202756,3.372141007895229,29.2465956434652,-10.37888965377713,1.8285935986718824
2459944.9583817595,23,24.8995338548425,17.884323160581086,0.567527530996315,7.442963104411858,-18.980994102125543,3.3753513681993144,28.939537663804334,-9.953945312286931,1.8049746884088007
2459945.2917150925,21,24.490661556848657,17.729235281451533,0.5722816414125778,7.442963128445925,-18.42208171454902,3.378249566562894,28.635159618819127,-9.537908523948031,1.7816345727225957
2459945.625048426,23,24.087522535216443,17.579216620246772,0.5769575926321877,7.341796445473233,-17.86150450863272,3.380834076916954,28.33338256570173,-9.130415393358188,1.758563617398458
2459945.9583817595,21,23.68990883942069,17.434046591155727,0.5815564682067322,7.442963128445925,-17.29900046829809,3.383102773445757,28.03412961855066,-8.731122539422524,1.7357526017666502
2459946.2917150925,24,23.29762196279294,17.293517955101166,0.5860793125868881,7.442962852054174,-16.734311343581528,3.3850529166623287,27.73732574894743,-8.339705244617697,1.7131926670087116
2459946.625048426,18,22.91047272116565,17.157436064665507,0.590527132945761,7.356248972986175,-16.167182267808993,3.3866812080735635,27.442898217547675,-7.955856370708754,1.6908753503234497
2459946.9583817595,17,22.528280157457246,17.025617122989136,0.5949009007911432,7.44296319347928,-15.597361960158603,3.3879836698464807,27.15077554369034,-7.5792852180115515,1.6687924471547695
2459947.2917150925,16,22.150871559015414,16.897888308697162,0.5992015536013902,7.442962852054174,-15.024601382089648,3.3889557886994615,26.860888533505054,-7.209716271498698,1.6469361227156387
2459947.625048426,13,21.778081838496348,16.774086781132723,0.6034299963900718,7.370701012401578,-14.44865350883719,3.389592484706638,26.57316995580508,-6.8468881992533115,1.6252988623757267
2459947.9583817595,12,21.409752984341516,16.654058755726204,0.6075871030186649,7.428510873825026,-13.869273194861629,3.3898880747735416,26.287554241165562,-6.490552976897256,1.6038734244228028
2459948.2917150925,14,21.045733696962024,16.537658988591133,0.6116737176054174,7.442962852054174,-13.286216674066633,3.389836288367857,26.003977552712378,-6.140474989123282,1.5826528401245417
2459948.625048426,22,20.685879020445412,16.424750196100234,0.6156906557864107,7.37070109201095,-12.699241244456982,3.389430265191681,25.72237774298973,-5.7964302455437915,1.56163040066793
2459948.9583817595,16,20.330049983287797,16.315202523888782,0.6196387058211861,7.442962852054174,-12.108104961117041,3.3886625503806442,25.44269430118031,-5.458205645926047,1.5407996436769162
2459949.2917150925,17,19.97811326620743,16.20889305453952,0.6235186297873238,7.44296319347928,-11.512566354520958,3.3875250888273682,25.164868300196826,-5.125598301191064,1.5201543406802476
2459949.625048426,17,19.629940892596256,16.10570536011994,0.627331164642143,7.385153568011158,-10.912384169461852,3.3860092213380146,24.888842348356107,-4.7984149044098325,1.4996884868639135
2459949.9583817595,16,19.285410067828746,16.00552923756019,0.6310770231600187,7.442962852054174,-10.307317059760463,3.3841057040308358,24.61456073587829,-4.476471153304554,1.4793963133978951
2459950.2917150925,14,18.944402504912855,15.90825976765836,0.6347568949372323,7.442962852054174,-9.697123775281169,3.381804587617138,24.341968702931293,-4.159591259801807,1.4592721885720958
2459950.625048426,19,18.606804499739727,15.813797670063952,0.6383714472692193,7.399606074090492,-9.081562196116781,3.379095342794849,24.071013139713486,-3.8476072500691045,1.4393107094060351
2459950.9583817595,11,18.27250671093881,15.722048412754171,0.6419213259302087,7.442962852054174,-8.460390205699143,3.375966760142343,23.80164212248725,-3.5403588783213875,1.419506632609195
2459951.2917150925,11,17.941403926922785,15.632922561810252,0.645407156075645,7.442962852054174,-7.833364368171324,3.37240704674469,23.533805354404254,-3.237692757567721,1.3998549357571226
2459951.625048426,15,17.613394704497665,15.546334892583817,0.6488295429946837,7.414058660616886,-7.200240665058313,3.368403705424182,23.267453560965908,-2.9394622387155556,1.3803507323342294
2459951.9583817595,11,17.28838126661977,15.462204336405081,0.652189072755346,7.442962852054174,-6.560774183453342,3.363943561479101,23.002538662546648,-2.645526976684125,1.3609892925503488
2459952.2917150925,10,16.966269366526838,15.380453833963168,0.6554863129662959,7.442962852054174,-5.914718950383862,3.3590127819322197,22.739013833618674,-2.3557525520677722,1.3417660541778629
2459952.625048426,9,16.64696806965642,15.301009880193172,0.6587218134407938,7.42851071322202,-5.261828246550681,3.35359678837894,22.476833261228787,-2.070010264049806,1.3226765740638324
2459952.9583817595,11,16.3303894040838,15.223802554512373,0.6618961067264472,7.442962852054174,-4.601853838540176,3.34768031791583,22.215952154708567,-1.7881765346010747,1.303716552242787
2459953.2917150925,12,16.01644847681193,15.148764645981132,0.6650097087544528,7.442962852054174,-3.934547719261634,3.3412472514946137,21.95632638833189,-1.510133282995126,1.2848817479947423
2459953.625048426,14,15.705063226220553,15.07583324838464,0.6680631194081206,7.327344477635265,-3.259658623400323,3.3342810180502482,21.697913692687116,-1.2357663794192788,1.2661682008654862
2459953.9583817595,11,15.39615429058719,15.004947389970994,0.6710568229973952,7.442962852054174,-2.576936261250654,3.3267640627890978,21.440672010967678,-0.964966890524158,1.247571935265923
2459954.2917150925,7,15.089644848060683,14.936048987116617,0.6739912888161969,7.442962852054174,-1.8861292853039182,3.318678132206551,21.184560255400246,-0.6976300776137254,1.2290891124229013
2459954.625048426,8,14.78546057540632,14.869082883841127,0.67686697162981,7.34179690586844,-1.1869852016071163,3.310004234780093,20.92953846112729,-0.4336551024585218,1.2107160235732455
2459954.9583817595,14,14.483529466774963,14.80399634113226,0.6796843120907216,7.442962852054174,-0.4792511388069885,3.3007226322644834,20.675567434169363,-0.17294503048168508,1.1924490658904277
2459955.2917150925,3,14.183781629505582,14.740738933861559,0.682443737203235,7.442962852054174,0.23732618611872483,3.2908127892696646,20.422608672225667,0.08459344802387932,1.1742847182205414
2459955.625048426,10,13.886149295654697,14.679262514672029,0.6851456607469828,7.356248909988724,0.9630001655818744,3.2802534042964666,20.170624471028635,0.33905017357215017,1.1562195571811977
2459955.9583817595,7,13.59056676417796,14.61952102466448,0.6877904836121888,7.442962852054174,1.698023770517269,3.2690223959840607,19.919577866607398,0.5905116046098947,1.1382502462864734
2459956.2917150925,9,13.296970328491247,14.561470382038193,0.6903785942580775,7.442962852054174,2.4426491498384055,3.25709690625306,19.669432616534962,0.8390609603517728,1.1203735324240185
2459956.625048426,9,13.005298049217396,14.505068474282993,0.6929103690659416,7.370701207002271,3.197127716466797,3.2444533208892117,19.420153137748272,1.0847785353601596,1.1025862452633362
2459956.9583817595,3,12.715489950274366,14.45027507478109,0.6953861726421117,0.9394030950100933,3.961709119352168,3.231067312947763,19.171704680984337,1.3277416501800035,1.0848853155373284
2459957.2917150925,1,12.42748755178801,14.397051711146506,0.6978063582353569,0.7226177799818209,4.736641512466324,3.2169137160702825,18.92405300054846,1.5680250306828702,1.0672677072118375
2459957.625048426,3,12.141233633773412,14.345361279771833,0.7001712679420674,3.714255436912513,5.522170828376607,3.2019667284299884,18.67716399478383,1.805700826270631,1.0497304582624412
2459957.9583817595,0,11.856672798140202,14.295168409068603,0.7024812330048247,8.0,6.318539612313893,3.186199773172016,18.431004443423873,2.0408385940871017,1.0322706646828859
2459958.2917150925,0,11.57375068060218,14.246435945872458,0.704736574121072,8.0,7.125981212980427,3.169583816919103,18.185539120374337,2.2735034212662617,1.0148847576998772
2459959.625048426,1,10.45742415852695,14.065529534883895,0.7132177607364545,0.8382366247789121,10.471161679318506,3.0940909628640187,17.210020750255207,3.180729881891313,0.9460361104435081
