*******************************************************************************
 Revised: April 12, 2021        Jupiter Barycenter                            5
 
 Dynamical point:
 ---------------
 The location of the center-of-mass of the Jupiter system. The point about 
 which Jupiter and its satellites revolve. See 599 for Jupiter center.
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Mar 29 02:45:19 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter Barycenter (5)          {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Aug-12 08:17:00.0000 TDB
Stop  time      : A.D. 2028-Dec-31 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458486.845138889, A.D. 2019-Jan-03 08:17:00.0000, -3.170019629858640E+08, -7.336358929267981E+08,  1.013362533514678E+07,  1.183729622300015E+01, -4.559510960070222E+00, -2.458713328369151E-01,
2458489.845138889, A.D. 2019-Jan-06 08:17:00.0000, -3.139309865609531E+08, -7.348113226825473E+08,  1.006980742843175E+07,  1.185847686356206E+01, -4.510145864880161E+00, -2.465501275120070E-01,
2458492.845138889, A.D. 2019-Jan-09 08:17:00.0000, -3.108545455343650E+08, -7.359739436480472E+08,  1.000581409149835E+07,  1.187946127071032E+01, -4.460677817184051E+00, -2.472249586020241E-01,
2458495.845138889, A.D. 2019-Jan-12 08:17:00.0000, -3.077726908386941E+08, -7.371237292277191E+08,  9.941646353621811E+06,  1.190024891313094E+01, -4.411107509668490E+00, -2.478958113434706E-01,
2458498.845138889, A.D. 2019-Jan-15 08:17:00.0000, -3.046854735440388E+08, -7.382606530058970E+08,  9.877305247900695E+06,  1.192083926115299E+01, -4.361435637868632E+00, -2.485626709980295E-01,
2458501.845138889, A.D. 2019-Jan-18 08:17:00.0000, -3.015929448575734E+08, -7.393846887475684E+08,  9.812791811250448E+06,  1.194123178676544E+01, -4.311662900173478E+00, -2.492255228531055E-01,
2458504.845138889, A.D. 2019-Jan-21 08:17:00.0000, -2.984951561231159E+08, -7.404958103991133E+08,  9.748107084396541E+06,  1.196142596363410E+01, -4.261789997831929E+00, -2.498843522223757E-01,
2458507.845138889, A.D. 2019-Jan-24 08:17:00.0000, -2.953921588206908E+08, -7.415939920890465E+08,  9.683252111867785E+06,  1.198142126711852E+01, -4.211817634959557E+00, -2.505391444463771E-01,
2458510.845138889, A.D. 2019-Jan-27 08:17:00.0000, -2.922840045660881E+08, -7.426792081287620E+08,  9.618227941989183E+06,  1.200121717428908E+01, -4.161746518546119E+00, -2.511898848931102E-01,
2458513.845138889, A.D. 2019-Jan-30 08:17:00.0000, -2.891707451104177E+08, -7.437514330132794E+08,  9.553035626874566E+06,  1.202081316394297E+01, -4.111577358464430E+00, -2.518365589584626E-01,
